tid,track,track_url,release_date,duration_ms,explicit,track_popularity,markets,albid,album,album_type,artid,artist,genres,artist_popularity,danceability,instrumentalness,speechiness,valence,loudness,added_at,lyrics
6g8Ztyoym7VNLEzl8alsJK,Move,https://open.spotify.com/track/6g8Ztyoym7VNLEzl8alsJK,2021-10-13,150491,True,56,185,3Nt7p3GrkB4QeT1AKONY8U,Move,single,68R39izwNAztATrXMOqkJS,Bad Boy Timz,"['afrobeats', 'nigerian pop']",48,0.646,0.00158,0.129,0.649,-4.166,2024-05-31,
5JiTgli1D3CpDsFpDFDgyJ,Blood Tonic,https://open.spotify.com/track/5JiTgli1D3CpDsFpDFDgyJ,2024-03-08,167423,False,35,185,7kIoxsjk34Il4LwfY89E4A,Blood Tonic,single,0PC3YLVMq3svBBqVtgrDI9,Guchi,['sierra leonean pop'],37,0.577,0.00812,0.47,0.261,-8.549,2024-05-31,
19btQ53wBdXoaOC9REkxv4,No Yawa,https://open.spotify.com/track/19btQ53wBdXoaOC9REkxv4,2023-04-12,156000,False,26,185,21aIGAJkB04W60OPlkZcSQ,No Yawa,single,16pK3YXYLCyvrFwq2BJoXH,Okwi,[],13,0.832,0.000784,0.0423,0.665,-10.531,2024-05-31,
6BWgLorAwF17ofyu8361HM,Cast,https://open.spotify.com/track/6BWgLorAwF17ofyu8361HM,2023-11-10,129123,True,69,185,14VJEhvxRCOsNtcwjjBxwR,Presido La Pluto,album,4TKhxSkqClXrdtUWgKqHVU,Shallipopi,['afrobeats'],63,0.91,1.22e-05,0.0735,0.876,-4.224,2024-05-31,
1U6ym4flITY7ILHMgefRTu,Pray For Me,https://open.spotify.com/track/1U6ym4flITY7ILHMgefRTu,2022-10-25,192470,False,0,0,4uSiGSqnMzlxBcgcAm50Tp,Pray For Me,single,3hOS1riVLyItJ4VmQlnWkk,Kayzeerizy,[],0,0.838,1.28e-06,0.337,0.871,-8.024,2024-05-31,
0OTos4FqtEgdOClbTFDg6D,Je M'appelle (feat. Ayo Jay),https://open.spotify.com/track/0OTos4FqtEgdOClbTFDg6D,2022-09-07,206370,True,52,185,0hF4X9O2CDVKkowMz3SIdy,ovrdose.,single,4Xj0nxVO4r7PLEaw7LRiBa,melvitto,"['afrobeats', 'nigerian pop']",61,0.749,0.00596,0.135,0.199,-6.42,2024-05-31,
0I5l2lMLSLFUcTEKWwC1O5,Kiss 'N' Tell,https://open.spotify.com/track/0I5l2lMLSLFUcTEKWwC1O5,2023-10-27,141941,False,48,185,5ymb4OcOb0HkTHVaruOQ9B,Kiss 'N' Tell,single,6xjZjxAxA1nxvIBPbOpAa0,Soundz,['afrobeats'],54,0.885,0.00389,0.0405,0.766,-5.234,2024-05-31,
1Bv9hd3GNquQA1Cw2dnNTM,Godly - Mixed,https://open.spotify.com/track/1Bv9hd3GNquQA1Cw2dnNTM,2023-04-03,77244,False,0,0,3C9hA0lztFDKtkh6fnw9t1,NO COILING MIXES II-BLVCKBOYYS AVENUE (DJ Mix),album,5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,['afrobeats'],71,0.816,0.0587,0.19,0.838,-8.292,2024-05-31,
7CIzqVH1N2BxHPavv5CLWz,Ayo Girl (Fayahh Beat) [feat. Rema & Tempoe],https://open.spotify.com/track/7CIzqVH1N2BxHPavv5CLWz,2023-01-05,167271,False,37,184,2JoPRQl4Nye9kJ9icFiKXv,Ayo Girl (Fayahh Beat) [feat. Rema & Tempoe],single,352VD5fhV8xzAFcmO7lMwg,Robinson,[],54,0.657,0.0,0.0879,0.787,-5.331,2024-05-31,"[""You say I ain't shit, but you love that shit"", ""Your friends send me pics; that's when you got pissed"", ""But if she ain't a ten, I ain't touchin' it"", ""I know why you bitchin', I'm a dog with it"", ""You know all my coupe's got no roof roof"", 'You do it with no hands, call ya bluetooth', ""Me and you was gang, you're my thug misses"", ""The ting you got on, got 'em all singin'"", 'Aye you girl in the tight up skirt', 'Way that you move make my heart start to hurt', 'Aye you girl in the tight up shorts', 'You speed up ten more beats to my heart', 'Aye you girl in the jeans?', 'How you fit them tings?', 'Do you hear me calling you?', 'Do you hear me calling?', 'Do you hear me calling?', 'Who baby girl? know I love ya', 'It be the reason many man want you', ""If he wants the war I'd be die for you"", ""But if I die it means I gon' lose"", 'Me every day live life solo', ""Many girls don't do me, why you?"", 'No, baby, only you I know', 'And when they all know my name I fall', 'Aye you girl in the tight up skirt', 'Way that you move make my heart start to hurt', 'Aye you girl in the tight up shorts', 'You speed up ten more beats to my heart', 'Aye you girl in the jeans?', 'How you fit them tings?', 'Do you hear me calling you?', 'Do you hear me calling?', 'Do you hear me calling?', ""Girly, I don't mean to be rude"", 'Girly, when they put me in the mood, oh baby', 'Yeah, the way they tight up me screw, oh na', 'And even you drive me crazy', ""Baby, I don't mean to be rude (Rude)"", 'Make a rude boy go crazy, crazy (Crazy)', ""I'ma be a fool for you, right now"", 'Maybe, maybe', 'Aye you girl in the tight up skirt (Tight up skirt)', 'Way that you move make my heart start to hurt', 'Aye you girl in the tight up shorts', 'You speed up ten more beats to my heart', 'Aye you girl in the jeans? (Yeah)', 'How you fit them tings?', 'Do you hear me calling you?', 'Do you hear me calling?', 'Do you hear me calling?', 'Jason Derulo']"
5UwxpuGHkwiojKDaPC5ZNu,Joha,https://open.spotify.com/track/5UwxpuGHkwiojKDaPC5ZNu,2022-09-07,148000,False,66,185,0lzPMIAYhhUSD2BPT0VQWI,Mr. Money With The Vibe,album,3a1tBryiczPAZpgoZN9Rzg,Asake,"['afrobeats', 'nigerian pop']",71,0.819,0.201,0.0698,0.77,-8.221,2024-05-31,"['Tune in to the King of sounds and blues', ""C'est comment les frères"", ""Ç'est moi le gars de l'argent"", 'Oya', 'Hola como estas', 'They wan make I change my style', 'Kilo kan boys, kilo kan federal', 'Mr Money no dey waste time, shey you no remember?', 'Ogaranya (Oh, oh), ebelesu ah (Ebele)', 'Make we just dey fire dey go, ko de ni suwa', ""Olomi'miokere, tori ikebe na super"", 'Shey your bumbum fami gan gan, ki le gbe hallelujah', 'Joha', 'Mo ni sowa (Joha)', 'Toba wa (Joha)', 'Kojade sita (Joha)', 'Enu o shey durella (Joha)', 'Emi Godzilla (Joha)', 'Maradona (Joha)', 'Jo lo Coachella (Joha)', 'Emanuella (Joha)', 'Joha (Joha), jo joha (Joha)', 'Moni joha (Joha), jo joha (Joha)', 'Moni joha (Joha), jo joha (Joha)', 'Mi o fe wahala (Joha), jo jo joha (Joha)', 'I say la campagne tropicana (Okoko won pe ę)', 'Me I don dey high tey tey marijuana', 'Joanna jubadi bi omo Ghana', 'Oun jo homelando funmi, mo ya gbe skoda (Slow down, slow down)', 'Screw a nigga if a nigga think I give a fuck', 'Me I don dey street since when dem sing gongo aso', 'Apala no be soca, see my team dem no be feeders', ""Premier League is not UEFA, small body my engine bigger gan (L'eko)"", 'Joha', 'Mo ni showa (Joha)', 'Toba wa (Joha)', 'Kojade sita (Joha)', 'Enu o shey durella (Joha)', 'Emi Godzilla (Joha)', 'Maradona (Joha)', 'Jo lo Coachella (Joha)', 'Emanuella (Joha)', 'Joha (Joha), jo joha (Joha)', 'Moni joha (Joha), jo joha (Joha)', 'Moni joha (Joha), jo joha (Joha)', 'Mi o fe wahala (Joha), jo jo joha (Joha)']"
