tid,track,track_url,release_date,duration_ms,explicit,track_popularity,markets,albid,album,album_type,artid,artist,genres,artist_popularity,danceability,instrumentalness,speechiness,valence,loudness,added_at,lyrics
0ZozwNxlrIRfBAhAibtM4M,Hit & Run (feat. Masicka & Di Genius),https://open.spotify.com/track/0ZozwNxlrIRfBAhAibtM4M,2024-05-24,169581,True,58,183,2wkK1n9m6c7OutXRgtvVsz,Never Gets Late Here,album,1OFOShsIbhy1l5x73yuVyB,Shenseea,"['dancehall', 'dancehall queen']",67,0.823,0.0,0.0764,0.701,-3.41,2024-06-07,"['[Shenseea]', 'You think you coulda get inna my feelings? (Nah)', ""You couldn't get me fi sekkle down (Sekkle down)"", 'Me give you a hit and run (Run)', 'Me give you a hit and run (Move)', 'Me did only want likke dealings (Yeah)', 'Love you did a look, you must be dumb (Must be dumb)', 'Me give you a hit and run (Yesso)', 'Me give you a hit and run (Di Genius)', '[Shenseea]', 'Ayy', 'My yute (My yute), you take it too serious (Jhee)', 'Give you likkle piece, just a likkle feel up (Ayy)', 'Now you take set a pon me, you itch up', 'Give me space, give me room, give me likkle breeze nuh Jesus (Jesus)', 'A what make you feel so? (Yeah)', 'True, me keep it tight and me ever clean so', 'Want me, did want, seh me never need you', 'This enough fi people know, I keep it pon the d-low', '[Shenseea]', 'Me too young to lockdown with nobody', 'I pray, one day, somebody keep your company (Ooh-woah, oh-oh)', 'And a girl like me just want to have fun and more money', ""But you a pree relationship and that's a no for me, oh-oh-oh"", '[Shenseea]', 'Ayy, you think you coulda get inna my feelings? (Feelings)', ""You couldn't get me fi sekkle down (Sekkle down)"", 'Me give you a hit and run (Run)', 'Me give you a hit and run (Quick)', 'Me did only want likke dealings (Likkle dealings)', 'Love you did a look, you must be dumb (Must be dumb)', 'Me give you a hit and run', 'Me give you a hit and run', '[Masicka]', 'Long story short, your pussy good and done', 'Heaven me see when you pull your drawers down', 'Call, call your phone, me want some', 'Dial tone again, your heart numb', ""A wicked, a wicked 'bout hit and run"", 'Me a real bad bitch, me no sekkle down', ""Get the bricks, I level up, can't style me though, me up"", 'But me miss when we ah fuck, ayy', '[Shenseea & Masicka]', 'Me too young to lockdown with nobody', 'I pray, one day, somebody keep your company (No one send for me, girl)', 'And a girl like me just want to have fun and more money', ""But you a pree relationship and that's a no for me, oh-oh-oh (No one send for me, girl)"", '[Shenseea & Masicka]', 'Ayy, you think you coulda get inna my feelings? (Feelings)', ""Me couldn't get you fi sekkle down (Sekkle down)"", 'Me give you a hit and run (Yeah, yeah, yeah)', 'Me give you a hit and run (Quick)', 'Me did only want likke dealings (Likkle dealings)', 'Love you did a look, you must be dumb (Yeah, for real)', 'Me give you a hit and run', 'Me give you a hit and run', '[Shenseea]', '(Hit and run, hit and run, ayy, ayy, hit and run)', 'Me give you a hit and run', '(Hit and run, hit and run, ayy, ayy, hit and run)', 'Me give you a hit and run (Run, run, run, run, run, a hit and run)', 'Me give you a hit and run']"
6lIwh0HJ4mIr3iJIl7ngZ4,in the light,https://open.spotify.com/track/6lIwh0HJ4mIr3iJIl7ngZ4,2021-09-03,206129,False,24,185,4Zwk9buqpxEt6AutfRspHd,Before We Fall Asleep,album,4f8vvLN5Rt3WszqOqVR9e9,Johnny Drille,"['afrobeats', 'nigerian pop']",50,0.51,0.000233,0.105,0.619,-13.144,2024-06-07,
0BlBcMUDVI68fwwNGulSGM,Luv Again,https://open.spotify.com/track/0BlBcMUDVI68fwwNGulSGM,2024-06-05,220606,False,52,185,1BmGUnyQvlpEQaaUe47NJv,Luv Again,single,0a1SidMjD8D6EHvJph4n2H,Ruger,"['afrobeats', 'nigerian pop']",67,0.74,0.000392,0.305,0.536,-8.17,2024-06-07,"['Still lied', 'No falling in love on this side', 'Now, I know what it feels like', ""Don't know what to do now, it seems like"", 'I still need somebody to rely on', 'See, no be joke, na real life ooo', 'If you give me the green light', ""What's the deal like?"", 'I should tell you one thing about me', ""Baby gyal, see, I don't like being alone"", ""I don't like sleeping alone"", 'So, just know that if we break up', ""I'll be on the phone with someone new"", ""Baby girl, if I no yarn you, you'll never know"", ""For way too long, I've been cold"", 'Play it by ear', 'And tell me when you feeling someone new', 'I tell you say ""I no go luv again""', 'I tell you say ""I\'m a playboy oh""', 'Now see, I don fall again', ""Let's give it a try"", 'Make we see as e go go', 'Now see, I don gock again', 'Me wey be say I be playboy oh', 'Now see, e don sup again', 'Something wey I dey run from', 'Make we see as e go go', 'And if I give you my heart, will you hold it', ""Or for a good price, you'll give it up?"", ""You need to know when I'm really in love"", ""I'll never give you half bread, better give you none"", 'Let me ask, ""If I act like an ass', 'Would you still let me clap your ass on my marble floors""?', ""I'm so toxic bae"", 'A thing you should know about me', ""Baby gyal, see, I don't like being alone"", ""I don't like sleeping alone"", 'So, just know that if we break up', ""I'll be on the phone with someone new"", ""Baby girl, if I no yarn you, you'll never know"", ""For way too long, I've been cold"", 'Play it by ear', 'And tell me when you feeling someone new', 'I tell you say ""I no go luv again""', 'I tell you say ""I\'m a playboy oh""', 'Now see, I don fall again', ""Let's give it a try"", 'Make we see as e go go', 'Now see, I don gock again', 'Me wey be say I be playboy oh', 'Now see, e don sup again', 'Something wey I dey run from', 'Make we see as e go go', ""Baby gyal, see, I don't like being alone"", ""I don't like sleeping alone"", 'So, just know that if we break up', ""I'll be on the phone with someone new"", ""Way too long, I've been cold"", 'I tell you say ""I no go luv again""', 'I tell you say ""I\'m a playboy oh""', 'Now see, I don fall again', ""Let's give it a try"", 'Make we see as e go go', 'Now see, I don gock again', 'Me wey be say I be playboy oh', 'Now see, e don sup again', 'Something wey I dey run from', 'Make we see as e go go']"
0clDhQSahgP1U8vZUfblWS,wap,https://open.spotify.com/track/0clDhQSahgP1U8vZUfblWS,2024-05-17,168000,True,57,185,5Jbh653OLOZOtFazI7Hk7A,wap,single,2XNwtpu314ZSFziTt0ZqZT,Minz,"['afrobeats', 'nigerian pop']",50,0.534,0.0,0.257,0.529,-7.429,2024-06-07,"['[Minz]', 'Yuh pussy clean, yuh pussy so fat', 'Sit di pussy pon mi wap, wap', 'Yeah', 'Mi luv di sound of dat', 'Send di pussy pon Snapchat', '[Minz]', ""Don't want wahala, don't want no drama"", 'Dey for my corner, dey blow', 'As I see you for my radar, I no fit take am', 'Give me that your number, make I tanana your capper', '[Minz]', ""I'll make you say ooh, ah"", 'You put me in the mood, gyal', 'No matter what I do, you know I will come back', ""It's wetter than a pool and I wan' dive inside, yeah"", '[Minz]', 'Yuh pussy clean, yuh pussy so fat', ""Hey, babe, how you feelin'?"", 'Sit di pussy pon mi wap wap', ""Hey, you know I'm the nigga right here, right?"", 'Mi love the sound of dat', '???', 'Send di pussy pon Snapchat', '[Davido]', 'E dey, e dey, e dey do me, make I dive in that ocean', 'Dive in that ocean on God (On God)', 'So I fit shoot AK again and again on God (On God, yeah)', 'Tomato mm ekwu ne ko (Ooh)', 'Nwa nu (Ooh)', 'Nma nu', 'I say, my baby, no eviction', 'You get immunity, na you get the mandate', 'This one no be politics', 'Finish, finish, finish', 'The money wey I get you no fit chop am finish', 'Finish, finish, finish', 'Free up your body, make me spice it up', 'Make I handcuff you like jailer, jailer', 'I make your pum-pum sweat', 'I no need betrayal ah ah', 'Nobody affi, nobody affi know', '[Minz]', 'Ooh, ah', 'You put me in the mood, gyal', 'No matter what I do, you know I will come back (I will)', ""It's wetter than a pool and I wan' dive inside, yeah"", '[Minz, Davido]', 'Yuh pussy clean, yuh pussy suh fat', 'Sit di pussy pon mi wap, wap', 'Yeah', 'Mi love the sound of dat', 'Send di pussy pon Snapchat', 'Oh']"
747cO9FmyVvRCrsRusfwdL,reason,https://open.spotify.com/track/747cO9FmyVvRCrsRusfwdL,2023-06-14,147363,False,58,135,5EY6AWFCHJgcY00gUSnlrq,Boy Alone (Deluxe),album,5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,['afrobeats'],72,0.753,0.000234,0.245,0.869,-8.111,2024-06-07,"['Uh, my dear', 'My dear e my dear, oh my dear', 'My dear ah, my dear, my dear', 'How long will it take you to realize?', ""I don't know who to run to right now"", 'Army is opening heavy fire', ""I'm unsafe, but I'm still out here"", '(Fighting)', 'What are we doing my dear, my dear? (Fighting)', 'I surrender you myself, myself (Fighting)', 'My hands are in the air, in the air (Fighting)', 'Only time will tell the difference clear', 'What is the reason you do not have your own peace of mind?', 'Are you having fun or are you doing this thing to survive?', 'Are you taking the pictures of every memories of your life?', ""What's the reason why we're still out here?"", 'Shekeleke give me one, better finger two', 'Make a nigga suit and tie, let him fly like you', 'Showing you the route, you tryna untie my shoes', 'Is that good?', '(Fighting)', 'What are we doing my dear, my dear? (Fighting)', 'I surrender you myself, myself (Fighting)', 'My hands are in the air, in the air (Fighting)', 'Only time will tell the difference clear', 'What is the reason you do not have your own peace of mind?', 'Are you having fun or are you doing this thing to survive?', 'Are you taking the pictures of every memories of your life?', ""What's the reason why we're still out here?"", 'Fighting', 'Fighting', 'Fighting', 'Fighting', 'Along came Tuzi']"
1SlqJxitLASHinl3X0Mvkn,Soapy,https://open.spotify.com/track/1SlqJxitLASHinl3X0Mvkn,2019-06-28,174043,False,46,185,1v9gHXqfKMRyEb1i64KJW3,Soapy,single,5DfaMudUwkoz6TAPYifqkJ,Naira Marley,"['afrobeats', 'afroswing', 'nigerian pop']",52,0.899,0.00991,0.244,0.676,-4.816,2024-06-07,"['Ote sele bo\xa0', 'Yahoo ni babalawo', 'Ole ni everybody\xa0', 'Eni ile moba sani barawo', 'Ote sele bo\xa0', 'Yahoo ni babalawo', 'Ole ni everybody\xa0', 'Eni ile moba sani barawo', 'Ofe se ika fun mi', 'Mi ologun mo ni Quran', 'Mon de se adura mi', 'Bi nse se adura mi', 'Allah ngba adura mi', 'Ati lo atide', 'Eni ori yo odile', 'Eniba lo lo bade', 'Igba tin gba da de', 'Se na de mi ni ade', 'Kade kope lori', 'Ki bata ko pelese', 'Ki awon ota mi kan lese', 'Ki awon ota mi kan lese', '\xa0', 'Inside Life, loti ri 5 Alive', 'Inside life, loti ri Deeper life', 'Inside life, awon kan je iya', 'Awon nkan chop life', 'Inside life,', 'Awon kan shepe', 'Awon kan je ewa', 'Jo soapy (Soapy)', 'Kiri kiri njo soapy(kiri kiri njo soapy)', 'Jo soapy (Soapy)', 'Ikoyi prison njo soapy', 'Jo soapy (Soapy)', 'Ninu cell efcc won njo soapy', 'Jo soapy (Soapy)', 'To ba ni iyawo nle ko jo soapy', 'Soapy (Soapy, Soapy)', 'Brother yi njo soapy', 'Jo soapy (Soapy)', 'Abi eyin na soapy', 'Jo soapy (Soapy)', 'Single father njo soapy', 'Jo soapy (Soapy)', 'Malo lo OMO to ba lon soapy(Soapy)', 'Se oda owo mo', 'Owa sope omo Naira', 'Owu wo lowo iwo sa se si Naira', 'Aja fe dena de ekun', 'Kekere ekun o ma nse egbe aja', 'Wonbe ni mafo awon na ofe wahala', 'I just want make mama proud', 'They want to make mama cry', 'Mama you aint gonna cry no more', 'Teba sukun gan oma esukun ayo', 'Eba jo keba yo\xa0', 'Gbe oro mi ja si ayo', 'Inside life Inside life\xa0', 'I do what I want coz its my life(Kuonbe)\xa0', '\xa0', 'Inside Life, loti ri 5 Alive', 'Inside life, loti ri Deeper life', 'Inside life, awon kan je iya', 'Awon nkan chop life', 'Inside life,', 'Awon kan shepe', 'Awon kan je ewa', 'Jo soapy (Soapy)', 'Kiri kiri njo soapy(kiri kiri njo soapy)', 'Jo soapy (Soapy)', 'Ikoyi prison njo soapy', 'Jo soapy (Soapy)', 'Ninu cell efcc won njo soapy', 'Jo soapy (Soapy)', 'To ba ni iyawo nle ko jo soapy', 'Soapy (Soapy, Soapy)', 'Brother yi njo soapy', 'Jo soapy (Soapy)', 'Abi eyin na soapy', 'Jo soapy (Soapy)', 'Single father njo soapy', 'Jo soapy (Soapy)', 'Malo lo OMO to ba lon soapy(Soapy)']"
0SO6kFbabTMjsmnNCSCWWk,Dalilah,https://open.spotify.com/track/0SO6kFbabTMjsmnNCSCWWk,2024-05-20,167755,False,31,185,6eUtyQ0nItk099GXX6NUWb,Growing Pains (Deluxe),album,3sjmAVaeka80SCvK69bedW,Joshua Baraka,['ugandan pop'],45,0.56,0.00995,0.25,0.337,-4.319,2024-06-07,
0AWnrLw8H8wE6edp5Z2ibI,Said,https://open.spotify.com/track/0AWnrLw8H8wE6edp5Z2ibI,2017-09-08,218079,False,50,185,36pdRov9L2FbIGtJaqEeNt,Said,single,2gzWmhOZhDN6gXL49JW9qj,Nasty C,"['south african hip hop', 'south african trap']",57,0.793,0.0,0.142,0.565,-8.511,2024-06-07,"['Down with the pack, I roll (I roll, roll)', 'Now up with the sack and you know that I deserve it', 'Half and half when we split the purse, yeah', 'The preacher man said:', '""Please remember that your savior\'s on the way""', 'I still remember when the teacher man said:', '""I wouldn\'t make it"", but I made it anyway', ""I remember sey it wasn't easy"", 'Right now everyting is amazing', 'Steady driving dem loco', 'Them are taking my photo', 'I remember that they telling me no, no', 'Right now everyting is global', 'Steady driving dem loco', 'Them are taking my photo', 'Now I put the labour in full effect', ""I keep the prayers in motion, ain't no pulling back"", ""I was boxed in, all the boxes that I couldn't check"", 'And God came through for me would you look at that', ""Now I'm building a legacy outta hobby"", 'I never chased the dream, I designed it', 'Big crib, you hear the echo in the lobby', 'Boy I was broke as hell when they found me', 'Hell is where they found me', ""I'm past it, I made it, facts"", 'My haters all plastic, fake in fact', ""My family is all happy, I'm grateful, thanks"", 'And all the things I say are all naked, facts', ""I hope I get to meet up with my mother when I'm gone"", ""Just to talk about my life and all the hurdles that I've won"", ""I ain't saying it was flawless"", ""'Cause sometimes I got it wrong"", 'I had nobody to talk to so I said it in the song', 'Up with the weights, I work (work, work)', 'Down with the pack, I roll (I roll, roll)', 'Now up with the sack and you know that I deserve it', 'Half and half when we split the purse, yeah', 'The preacher man said:', '""Please remember that your savior\'s on the way""', 'I still remember when the teacher man said:', '""I wouldn\'t make it"", but I made it anyway', ""I remember sey it wasn't easy"", 'Right now everyting is amazing', 'Steady driving dem loco', 'Them are taking my photo', 'I remember that they telling me no, no', 'Right now everyting is global', 'Steady driving dem loco', 'Them are taking my photo', 'In the Winter in the Summer', 'Chart topper, money maker, we no bother', 'Everyday we pray for long life', 'Give thanks to Jah for more life', 'In the Winter in the Summer', 'Showkiller, we put them in a coma', 'Everyday we pray for long life', 'Give thanks to Jah for more life', 'Yeah, yeah', 'For Mama Put sey fisi no dey', 'I bin tell you say time no dey', 'That’s why me doing my way', 'Brother man do your way', 'Brother man you do it my way', 'Brother man you do it your way', 'But Mama Put sey fisi no dey', 'I bin tell you sey time no dey', 'That’s why me doing my way', 'So brother man do your way', 'Up with the weights, I work (work, work)', 'Down with the pack, I roll (I roll, roll)', 'Now up with the sack and you know that I deserve it', 'Half and half when we split the purse, yeah', 'The preacher man said:', '""Please remember that your savior\'s on the way""', 'I still remember when the teacher man said:', '""I wouldn\'t make it"", but I made it anyway', ""I remember sey it wasn't easy"", 'Right now everyting is amazing', ""That I be driving 'em loco"", 'Them are taking my photo', 'I remember that they telling me no, no', 'Right now everyting is global', 'Steady driving dem loco', 'Them are taking my photo', 'Up with the weights, I work', 'And down with the pack, I roll', 'Now up with the sack and you know that I deserve it', 'Half and half when we split the purse']"
66hwnejSDoMXppajTx1jc6,All of Us,https://open.spotify.com/track/66hwnejSDoMXppajTx1jc6,2023-12-06,172631,False,48,185,0f9DldlKR7QQBmy3In5BOI,All of Us,single,7ec839cm4GyYwjFaHdOUbN,Kukbeatz,[],33,0.834,3.37e-06,0.123,0.607,-8.978,2024-06-07,
1kW728xFsRBvunN1yiTsNf,Ilashe,https://open.spotify.com/track/1kW728xFsRBvunN1yiTsNf,2024-04-17,160885,True,63,185,1L9bJDoHYbV5NbUmIT36gu,RnB,album,0a1SidMjD8D6EHvJph4n2H,Ruger,"['afrobeats', 'nigerian pop']",67,0.811,0.000247,0.0603,0.451,-6.868,2024-06-07,"['[Ruger]', 'Ilashe water way', 'Splash on me ko kan aye', 'Hennessy on the way', 'Maa order lọ ọmọ aye', 'I go splurge you all my pay', 'Na legit ko n ṣe ase', ""Maa order anything wey you want, girl, it's alright"", '[Ruger]', 'Ilashe water way', 'Splash on me ko kan aye', 'Hennessy on the way', 'Maa order lọ ọmọ aye!', 'I go splurge you all my pay', 'Na legit ko n ṣe ase', ""Maa order anything wey you want, girl, it's alright (Order lọ kọ shaaye)"", '[Ruger, BNXN]', ""Swear that you don't know what we are doing here"", 'Abi no be free boat wey you use reach here?', 'Swear say you no feel all the doings here', 'You don enjoy finish you come dey lose interest', 'You no e don finish to ba le mu mi bẹẹ', 'Baby inu mi ma dun to ba le fun mi jẹ, baby!', 'Who goes there? le le', 'When money full wallet?', 'Eleyii? o pọ sẹ!', 'Tell me wetin bọbọ no get', '[Ruger]', 'Ilashe water way', 'Splash on me ko kan aye', 'Hennessy on the way', 'Maa order lọ ọmọ aye!', 'I go splurge you all my pay', 'Na legit ko n ṣe ase', ""Maa order anything wey you want, girl, it's alright (Order lọ ko shaaye)"", '[BNXN]', ""Why you've been keep me waiting"", ""When your legs should've been shaking, shaking"", ""You're my number-one rating"", ""Shouldn't be me that you are delaying"", 'Playing games with', 'Eleyii nasty', 'She no be catfish, kele na bad bitch, as we dey for bar beach, oh baby', 'Lo ko mi tanṣo', 'Lẹ mọ mi jẹ a jo, you know the parol', 'You con dey move slow, no way!', 'Fi sẹnu bi Harmonica', 'Ko le kowo mi lọ, mo maa gbe wa, e sure', '[Ruger]', 'Ilashe water way', 'Splash on me ko kan aye', 'Hennessy on the way', 'Maa order lọ ọmọ aye!', 'I go splurge you all my pay', 'Na legit ko n ṣe ase', ""Maa order anything wey you want, girl, it's alright""]"
